stamp,driver_traction_aim_switch,driver_traction_range_switch,brake_bias_aim_switch
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=123359817)",0,0,9
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=133331071)",0,0,9
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=143333309)",0,0,9
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=153200508)",0,0,9
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=163476631)",0,0,9
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=173298742)",0,0,9
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=183266560)",0,0,9
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=193425040)",0,0,9
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=203216736)",0,0,9
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=213233189)",0,0,9
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=223392752)",0,0,9
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=233454453)",0,0,9
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=243278811)",0,0,9
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=253198840)",0,0,9
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=263304284)",0,0,9
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=273332743)",0,0,9
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=283370016)",0,0,9
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=293206439)",0,0,9
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=303372245)",0,0,9
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=313397800)",0,0,9
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=323428475)",0,0,9
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=333309124)",0,0,9
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=343988785)",0,0,9
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=353227385)",0,0,9
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=363153084)",0,0,9
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=373317020)",0,0,9
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=383381043)",0,0,9
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=393232453)",0,0,9
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=403324213)",0,0,9
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=413497698)",0,0,9
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=423559835)",0,0,9
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=433335026)",0,0,9
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=444125780)",0,0,9
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=453781520)",0,0,9
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=463545118)",0,0,9
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=473391509)",0,0,9
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=483143176)",0,0,9
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=493444538)",0,0,9
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=503214161)",0,0,9
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=513494545)",0,0,9
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=523299981)",0,0,9
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=533402952)",0,0,9
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=543202088)",0,0,9
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=553330382)",0,0,9
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=563368229)",0,0,9
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=573488199)",0,0,9
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=583355513)",0,0,9
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=593379963)",0,0,9
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=603444684)",0,0,9
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=613313354)",0,0,9
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=623378398)",0,0,9
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=633284446)",0,0,9
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=643436615)",0,0,9
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=653689774)",0,0,9
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=663623663)",0,0,9
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=673436174)",0,0,9
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=683598938)",0,0,9
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=694800750)",0,0,9
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=703446871)",0,0,9
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=713260827)",0,0,9
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=723423976)",0,0,9
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=733404696)",0,0,9
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=743375095)",0,0,9
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=753309113)",0,0,9
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=763230365)",0,0,9
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=773492576)",0,0,9
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=783368870)",0,0,9
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=793386830)",0,0,9
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=803538546)",0,0,9
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=813403678)",0,0,9
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=823356238)",0,0,9
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=833450307)",0,0,9
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=843361899)",0,0,9
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=853348570)",0,0,9
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=863245464)",0,0,9
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=873443422)",0,0,9
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=883434729)",0,0,9
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=893407252)",0,0,9
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=903247810)",0,0,9
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=913946389)",0,0,9
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=923443594)",0,0,9
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=933389125)",0,0,9
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=943326009)",0,0,9
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=953247567)",0,0,9
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=963648353)",0,0,9
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=973470227)",0,0,9
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=983358327)",0,0,9
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=993245412)",0,0,9
"builtin_interfaces.msg.Time(sec=1751477603, nanosec=3487281)",0,0,9
"builtin_interfaces.msg.Time(sec=1751477603, nanosec=13398843)",0,0,9
"builtin_interfaces.msg.Time(sec=1751477603, nanosec=23474869)",0,0,9
"builtin_interfaces.msg.Time(sec=1751477603, nanosec=33287054)",0,0,9
"builtin_interfaces.msg.Time(sec=1751477603, nanosec=43314870)",0,0,9
"builtin_interfaces.msg.Time(sec=1751477603, nanosec=53372304)",0,0,9
"builtin_interfaces.msg.Time(sec=1751477603, nanosec=63318923)",0,0,9
"builtin_interfaces.msg.Time(sec=1751477603, nanosec=73483493)",0,0,9
"builtin_interfaces.msg.Time(sec=1751477603, nanosec=83695472)",0,0,9
"builtin_interfaces.msg.Time(sec=1751477603, nanosec=93546913)",0,0,9
"builtin_interfaces.msg.Time(sec=1751477603, nanosec=103495204)",0,0,9
"builtin_interfaces.msg.Time(sec=1751477603, nanosec=113383942)",0,0,9
"builtin_interfaces.msg.Time(sec=1751477603, nanosec=123535995)",0,0,9
"builtin_interfaces.msg.Time(sec=1751477603, nanosec=133494976)",0,0,9
"builtin_interfaces.msg.Time(sec=1751477603, nanosec=143532015)",0,0,9
"builtin_interfaces.msg.Time(sec=1751477603, nanosec=153303580)",0,0,9
"builtin_interfaces.msg.Time(sec=1751477603, nanosec=163466578)",0,0,9
"builtin_interfaces.msg.Time(sec=1751477603, nanosec=173427856)",0,0,9
"builtin_interfaces.msg.Time(sec=1751477603, nanosec=183431808)",0,0,9
"builtin_interfaces.msg.Time(sec=1751477603, nanosec=193228577)",0,0,9
"builtin_interfaces.msg.Time(sec=1751477603, nanosec=203493618)",0,0,9
"builtin_interfaces.msg.Time(sec=1751477603, nanosec=213653800)",0,0,9
"builtin_interfaces.msg.Time(sec=1751477603, nanosec=223328011)",0,0,9
"builtin_interfaces.msg.Time(sec=1751477603, nanosec=234537454)",0,0,9
"builtin_interfaces.msg.Time(sec=1751477603, nanosec=243245306)",0,0,9
"builtin_interfaces.msg.Time(sec=1751477603, nanosec=253242675)",0,0,9
"builtin_interfaces.msg.Time(sec=1751477603, nanosec=263592934)",0,0,9
"builtin_interfaces.msg.Time(sec=1751477603, nanosec=273491759)",0,0,9
"builtin_interfaces.msg.Time(sec=1751477603, nanosec=283812794)",0,0,9
"builtin_interfaces.msg.Time(sec=1751477603, nanosec=293370360)",0,0,9
"builtin_interfaces.msg.Time(sec=1751477603, nanosec=303929290)",0,0,9
"builtin_interfaces.msg.Time(sec=1751477603, nanosec=313286878)",0,0,9
"builtin_interfaces.msg.Time(sec=1751477603, nanosec=325153311)",0,0,9
"builtin_interfaces.msg.Time(sec=1751477603, nanosec=333292191)",0,0,9
"builtin_interfaces.msg.Time(sec=1751477603, nanosec=343447247)",0,0,9
"builtin_interfaces.msg.Time(sec=1751477603, nanosec=353423116)",0,0,9
"builtin_interfaces.msg.Time(sec=1751477603, nanosec=363434430)",0,0,9
"builtin_interfaces.msg.Time(sec=1751477603, nanosec=373504089)",0,0,9
"builtin_interfaces.msg.Time(sec=1751477603, nanosec=383282046)",0,0,9
"builtin_interfaces.msg.Time(sec=1751477603, nanosec=393583869)",0,0,9
"builtin_interfaces.msg.Time(sec=1751477603, nanosec=404080672)",0,0,9
"builtin_interfaces.msg.Time(sec=1751477603, nanosec=413430303)",0,0,9
"builtin_interfaces.msg.Time(sec=1751477603, nanosec=423369032)",0,0,9
"builtin_interfaces.msg.Time(sec=1751477603, nanosec=433359269)",0,0,9
"builtin_interfaces.msg.Time(sec=1751477603, nanosec=443437136)",0,0,9
"builtin_interfaces.msg.Time(sec=1751477603, nanosec=453380938)",0,0,9
"builtin_interfaces.msg.Time(sec=1751477603, nanosec=463296395)",0,0,9
"builtin_interfaces.msg.Time(sec=1751477603, nanosec=473283625)",0,0,9
"builtin_interfaces.msg.Time(sec=1751477603, nanosec=483640860)",0,0,9
"builtin_interfaces.msg.Time(sec=1751477603, nanosec=493316923)",0,0,9
"builtin_interfaces.msg.Time(sec=1751477603, nanosec=503376566)",0,0,9
"builtin_interfaces.msg.Time(sec=1751477603, nanosec=513417639)",0,0,9
"builtin_interfaces.msg.Time(sec=1751477603, nanosec=523623499)",0,0,9
"builtin_interfaces.msg.Time(sec=1751477603, nanosec=533345230)",0,0,9
"builtin_interfaces.msg.Time(sec=1751477603, nanosec=543336996)",0,0,9
"builtin_interfaces.msg.Time(sec=1751477603, nanosec=553577394)",0,0,9
"builtin_interfaces.msg.Time(sec=1751477603, nanosec=563556785)",0,0,9
"builtin_interfaces.msg.Time(sec=1751477603, nanosec=573736663)",0,0,9
"builtin_interfaces.msg.Time(sec=1751477603, nanosec=583559375)",0,0,9
"builtin_interfaces.msg.Time(sec=1751477603, nanosec=593569438)",0,0,9
"builtin_interfaces.msg.Time(sec=1751477603, nanosec=603300532)",0,0,9
"builtin_interfaces.msg.Time(sec=1751477603, nanosec=614056923)",0,0,9
"builtin_interfaces.msg.Time(sec=1751477603, nanosec=623528539)",0,0,9
"builtin_interfaces.msg.Time(sec=1751477603, nanosec=633682810)",0,0,9
"builtin_interfaces.msg.Time(sec=1751477603, nanosec=646927050)",0,0,9
"builtin_interfaces.msg.Time(sec=1751477603, nanosec=653327149)",0,0,9
"builtin_interfaces.msg.Time(sec=1751477603, nanosec=663587649)",0,0,9
"builtin_interfaces.msg.Time(sec=1751477603, nanosec=673444294)",0,0,9
"builtin_interfaces.msg.Time(sec=1751477603, nanosec=683482646)",0,0,9
"builtin_interfaces.msg.Time(sec=1751477603, nanosec=693607006)",0,0,9
"builtin_interfaces.msg.Time(sec=1751477603, nanosec=703441231)",0,0,9
"builtin_interfaces.msg.Time(sec=1751477603, nanosec=713281611)",0,0,9
"builtin_interfaces.msg.Time(sec=1751477603, nanosec=723579007)",0,0,9
"builtin_interfaces.msg.Time(sec=1751477603, nanosec=733557209)",0,0,9
"builtin_interfaces.msg.Time(sec=1751477603, nanosec=743835503)",0,0,9
"builtin_interfaces.msg.Time(sec=1751477603, nanosec=753499793)",0,0,9
"builtin_interfaces.msg.Time(sec=1751477603, nanosec=764121685)",0,0,9
"builtin_interfaces.msg.Time(sec=1751477603, nanosec=773532242)",0,0,9
"builtin_interfaces.msg.Time(sec=1751477603, nanosec=783374878)",0,0,9
"builtin_interfaces.msg.Time(sec=1751477603, nanosec=793775071)",0,0,9
"builtin_interfaces.msg.Time(sec=1751477603, nanosec=803386554)",0,0,9
"builtin_interfaces.msg.Time(sec=1751477603, nanosec=813662728)",0,0,9
"builtin_interfaces.msg.Time(sec=1751477603, nanosec=823768407)",0,0,9
"builtin_interfaces.msg.Time(sec=1751477603, nanosec=833517502)",0,0,9
"builtin_interfaces.msg.Time(sec=1751477603, nanosec=843338700)",0,0,9
"builtin_interfaces.msg.Time(sec=1751477603, nanosec=853366215)",0,0,9
"builtin_interfaces.msg.Time(sec=1751477603, nanosec=863713356)",0,0,9
"builtin_interfaces.msg.Time(sec=1751477603, nanosec=873630020)",0,0,9
"builtin_interfaces.msg.Time(sec=1751477603, nanosec=883498488)",0,0,9
"builtin_interfaces.msg.Time(sec=1751477603, nanosec=893564703)",0,0,9
"builtin_interfaces.msg.Time(sec=1751477603, nanosec=903561977)",0,0,9
"builtin_interfaces.msg.Time(sec=1751477603, nanosec=913481780)",0,0,9
"builtin_interfaces.msg.Time(sec=1751477603, nanosec=923458300)",0,0,9
"builtin_interfaces.msg.Time(sec=1751477603, nanosec=933405987)",0,0,9
"builtin_interfaces.msg.Time(sec=1751477603, nanosec=943461902)",0,0,9
"builtin_interfaces.msg.Time(sec=1751477603, nanosec=953519360)",0,0,9
"builtin_interfaces.msg.Time(sec=1751477603, nanosec=963479678)",0,0,9
"builtin_interfaces.msg.Time(sec=1751477603, nanosec=973350719)",0,0,9
"builtin_interfaces.msg.Time(sec=1751477603, nanosec=983354948)",0,0,9
"builtin_interfaces.msg.Time(sec=1751477603, nanosec=993423706)",0,0,9
"builtin_interfaces.msg.Time(sec=1751477604, nanosec=3644241)",0,0,9
"builtin_interfaces.msg.Time(sec=1751477604, nanosec=13821579)",0,0,9
"builtin_interfaces.msg.Time(sec=1751477604, nanosec=23348847)",0,0,9
"builtin_interfaces.msg.Time(sec=1751477604, nanosec=33774802)",0,0,9
"builtin_interfaces.msg.Time(sec=1751477604, nanosec=43559943)",0,0,9
"builtin_interfaces.msg.Time(sec=1751477604, nanosec=53472029)",0,0,9
"builtin_interfaces.msg.Time(sec=1751477604, nanosec=63377346)",0,0,9
"builtin_interfaces.msg.Time(sec=1751477604, nanosec=73546504)",0,0,9
"builtin_interfaces.msg.Time(sec=1751477604, nanosec=83717960)",0,0,9
"builtin_interfaces.msg.Time(sec=1751477604, nanosec=97497471)",0,0,9
"builtin_interfaces.msg.Time(sec=1751477604, nanosec=107222728)",0,0,9
"builtin_interfaces.msg.Time(sec=1751477604, nanosec=113658579)",0,0,9
"builtin_interfaces.msg.Time(sec=1751477604, nanosec=123525557)",0,0,9
"builtin_interfaces.msg.Time(sec=1751477604, nanosec=133450753)",0,0,9
"builtin_interfaces.msg.Time(sec=1751477604, nanosec=143675781)",0,0,9
"builtin_interfaces.msg.Time(sec=1751477604, nanosec=153503709)",0,0,9
"builtin_interfaces.msg.Time(sec=1751477604, nanosec=163365383)",0,0,9
"builtin_interfaces.msg.Time(sec=1751477604, nanosec=173376633)",0,0,9
"builtin_interfaces.msg.Time(sec=1751477604, nanosec=183551022)",0,0,9
"builtin_interfaces.msg.Time(sec=1751477604, nanosec=193450954)",0,0,9
"builtin_interfaces.msg.Time(sec=1751477604, nanosec=203484713)",0,0,9
"builtin_interfaces.msg.Time(sec=1751477604, nanosec=213359940)",0,0,9
"builtin_interfaces.msg.Time(sec=1751477604, nanosec=223467676)",0,0,9
"builtin_interfaces.msg.Time(sec=1751477604, nanosec=233571372)",0,0,9
"builtin_interfaces.msg.Time(sec=1751477604, nanosec=244088303)",0,0,9
"builtin_interfaces.msg.Time(sec=1751477604, nanosec=253673559)",0,0,9
"builtin_interfaces.msg.Time(sec=1751477604, nanosec=263604750)",0,0,9
"builtin_interfaces.msg.Time(sec=1751477604, nanosec=273565073)",0,0,9
"builtin_interfaces.msg.Time(sec=1751477604, nanosec=283501232)",0,0,9
"builtin_interfaces.msg.Time(sec=1751477604, nanosec=293537105)",0,0,9
"builtin_interfaces.msg.Time(sec=1751477604, nanosec=303534345)",0,0,9
"builtin_interfaces.msg.Time(sec=1751477604, nanosec=313485862)",0,0,9
"builtin_interfaces.msg.Time(sec=1751477604, nanosec=323861414)",0,0,9
"builtin_interfaces.msg.Time(sec=1751477604, nanosec=333441934)",0,0,9
"builtin_interfaces.msg.Time(sec=1751477604, nanosec=343548849)",0,0,9
"builtin_interfaces.msg.Time(sec=1751477604, nanosec=353817846)",0,0,9
"builtin_interfaces.msg.Time(sec=1751477604, nanosec=363411190)",0,0,9
"builtin_interfaces.msg.Time(sec=1751477604, nanosec=373523884)",0,0,9
