stamp,slip_ratio_fr_wheel_status,slip_angle_fr_wheel_status,wheel_speed_fr_wheel_status,slip_ratio_fl_wheel_status,slip_angle_fl_wheel_status,wheel_speed_fl_wheel_status,slip_ratio_rr_wheel_status,slip_angle_rr_wheel_status,wheel_speed_rr_wheel_status,slip_ratio_rl_wheel_status,slip_angle_rl_wheel_status,wheel_speed_rl_wheel_status
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=263355065)",0.0,4.6531175874662e-310,0.0,0.0,1.581e-320,0.0,0.0,5e-324,0.0,0.0,4.65425028596124e-310,0.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=273325567)",0.0,4.6531175874662e-310,0.0,0.0,1.581e-320,0.0,0.0,5e-324,0.0,0.0,4.65425028596124e-310,0.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=283420557)",0.0,4.6531175874662e-310,0.0,0.0,1.581e-320,0.0,0.0,5e-324,0.0,0.0,4.65425028596124e-310,0.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=293389593)",0.0,4.6531175874662e-310,0.0,0.0,1.581e-320,0.0,0.0,5e-324,0.0,0.0,4.65425028596124e-310,0.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=303493077)",0.0,4.6531175874662e-310,0.0,0.0,1.581e-320,0.0,0.0,5e-324,0.0,0.0,4.65425028596124e-310,0.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=313353119)",0.0,4.6531175874662e-310,0.0,0.0,1.581e-320,0.0,0.0,5e-324,0.0,0.0,4.65425028596124e-310,0.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=323464475)",0.0,4.6531175874662e-310,0.0,0.0,1.581e-320,0.0,0.0,5e-324,0.0,0.0,4.65425028596124e-310,0.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=333274902)",0.0,4.6531175874662e-310,0.0,0.0,1.581e-320,0.0,0.0,5e-324,0.0,0.0,4.65425028596124e-310,0.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=345274801)",0.0,4.6531175874662e-310,0.0,0.0,1.581e-320,0.0,0.0,5e-324,0.0,0.0,4.65425028596124e-310,0.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=353664867)",0.0,4.6531175874662e-310,0.0,0.0,1.581e-320,0.0,0.0,5e-324,0.0,0.0,4.65425028596124e-310,0.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=363361475)",0.0,4.6531175874662e-310,0.0,0.0,1.581e-320,0.0,0.0,5e-324,0.0,0.0,4.65425028596124e-310,0.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=373607203)",0.0,4.6531175874662e-310,0.0,0.0,1.581e-320,0.0,0.0,5e-324,0.0,0.0,4.65425028596124e-310,0.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=383475937)",0.0,4.6531175874662e-310,0.0,0.0,1.581e-320,0.0,0.0,5e-324,0.0,0.0,4.65425028596124e-310,0.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=393610022)",0.0,4.6531175874662e-310,0.0,0.0,1.581e-320,0.0,0.0,5e-324,0.0,0.0,4.65425028596124e-310,0.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=403337907)",0.0,4.6531175874662e-310,0.0,0.0,1.581e-320,0.0,0.0,5e-324,0.0,0.0,4.65425028596124e-310,0.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=413297911)",0.0,4.6531175874662e-310,0.0,0.0,1.581e-320,0.0,0.0,5e-324,0.0,0.0,4.65425028596124e-310,0.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=423389405)",0.0,4.6531175874662e-310,0.0,0.0,1.581e-320,0.0,0.0,5e-324,0.0,0.0,4.65425028596124e-310,0.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=433369166)",0.0,4.6531175874662e-310,0.0,0.0,1.581e-320,0.0,0.0,5e-324,0.0,0.0,4.65425028596124e-310,0.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=443844306)",0.0,4.6531175874662e-310,0.0,0.0,1.581e-320,0.0,0.0,5e-324,0.0,0.0,4.65425028596124e-310,0.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=453544669)",0.0,4.6531175874662e-310,0.0,0.0,1.581e-320,0.0,0.0,5e-324,0.0,0.0,4.65425028596124e-310,0.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=463446920)",0.0,4.6531175874662e-310,0.0,0.0,1.581e-320,0.0,0.0,5e-324,0.0,0.0,4.65425028596124e-310,0.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=473551614)",0.0,4.6531175874662e-310,0.0,0.0,1.581e-320,0.0,0.0,5e-324,0.0,0.0,4.65425028596124e-310,0.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=483285252)",0.0,4.6531175874662e-310,0.0,0.0,1.581e-320,0.0,0.0,5e-324,0.0,0.0,4.65425028596124e-310,0.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=494597876)",0.0,4.6531175874662e-310,0.0,0.0,1.581e-320,0.0,0.0,5e-324,0.0,0.0,4.65425028596124e-310,0.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=503412081)",0.0,4.6531175874662e-310,0.0,0.0,1.581e-320,0.0,0.0,5e-324,0.0,0.0,4.65425028596124e-310,0.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=513274386)",0.0,4.6531175874662e-310,0.0,0.0,1.581e-320,0.0,0.0,5e-324,0.0,0.0,4.65425028596124e-310,0.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=523233110)",0.0,4.6531175874662e-310,0.0,0.0,1.581e-320,0.0,0.0,5e-324,0.0,0.0,4.65425028596124e-310,0.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=533665472)",0.0,4.6531175874662e-310,0.0,0.0,1.581e-320,0.0,0.0,5e-324,0.0,0.0,4.65425028596124e-310,0.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=543416991)",0.0,4.6531175874662e-310,0.0,0.0,1.581e-320,0.0,0.0,5e-324,0.0,0.0,4.65425028596124e-310,0.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=553547377)",0.0,4.6531175874662e-310,0.0,0.0,1.581e-320,0.0,0.0,5e-324,0.0,0.0,4.65425028596124e-310,0.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=563426403)",0.0,4.6531175874662e-310,0.0,0.0,1.581e-320,0.0,0.0,5e-324,0.0,0.0,4.65425028596124e-310,0.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=573449921)",0.0,4.6531175874662e-310,0.0,0.0,1.581e-320,0.0,0.0,5e-324,0.0,0.0,4.65425028596124e-310,0.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=583471334)",0.0,4.6531175874662e-310,0.0,0.0,1.581e-320,0.0,0.0,5e-324,0.0,0.0,4.65425028596124e-310,0.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=593389417)",0.0,4.6531175874662e-310,0.0,0.0,1.581e-320,0.0,0.0,5e-324,0.0,0.0,4.65425028596124e-310,0.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=603336694)",0.0,4.6531175874662e-310,0.0,0.0,1.581e-320,0.0,0.0,5e-324,0.0,0.0,4.65425028596124e-310,0.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=614015605)",0.0,4.6531175874662e-310,0.0,0.0,1.581e-320,0.0,0.0,5e-324,0.0,0.0,4.65425028596124e-310,0.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=623473765)",0.0,4.6531175874662e-310,0.0,0.0,1.581e-320,0.0,0.0,5e-324,0.0,0.0,4.65425028596124e-310,0.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=634046838)",0.0,4.6531175874662e-310,0.0,0.0,1.581e-320,0.0,0.0,5e-324,0.0,0.0,4.65425028596124e-310,0.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=643360485)",0.0,4.6531175874662e-310,0.0,0.0,1.581e-320,0.0,0.0,5e-324,0.0,0.0,4.65425028596124e-310,0.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=653424684)",0.0,4.6531175874662e-310,0.0,0.0,1.581e-320,0.0,0.0,5e-324,0.0,0.0,4.65425028596124e-310,0.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=664278432)",0.0,4.6531175874662e-310,0.0,0.0,1.581e-320,0.0,0.0,5e-324,0.0,0.0,4.65425028596124e-310,0.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=674623669)",0.0,4.6531175874662e-310,0.0,0.0,1.581e-320,0.0,0.0,5e-324,0.0,0.0,4.65425028596124e-310,0.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=683983388)",0.0,4.6531175874662e-310,0.0,0.0,1.581e-320,0.0,0.0,5e-324,0.0,0.0,4.65425028596124e-310,0.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=694172222)",0.0,4.6531175874662e-310,0.0,0.0,1.581e-320,0.0,0.0,5e-324,0.0,0.0,4.65425028596124e-310,0.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=703626792)",0.0,4.6531175874662e-310,0.0,0.0,1.581e-320,0.0,0.0,5e-324,0.0,0.0,4.65425028596124e-310,0.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=713400099)",0.0,4.6531175874662e-310,0.0,0.0,1.581e-320,0.0,0.0,5e-324,0.0,0.0,4.65425028596124e-310,0.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=723898122)",0.0,4.6531175874662e-310,0.0,0.0,1.581e-320,0.0,0.0,5e-324,0.0,0.0,4.65425028596124e-310,0.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=733558013)",0.0,4.6531175874662e-310,0.0,0.0,1.581e-320,0.0,0.0,5e-324,0.0,0.0,4.65425028596124e-310,0.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=743378280)",0.0,4.6531175874662e-310,0.0,0.0,1.581e-320,0.0,0.0,5e-324,0.0,0.0,4.65425028596124e-310,0.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=753598199)",0.0,4.6531175874662e-310,0.0,0.0,1.581e-320,0.0,0.0,5e-324,0.0,0.0,4.65425028596124e-310,0.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=763663933)",0.0,4.6531175874662e-310,0.0,0.0,1.581e-320,0.0,0.0,5e-324,0.0,0.0,4.65425028596124e-310,0.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=773525356)",0.0,4.6531175874662e-310,0.0,0.0,1.581e-320,0.0,0.0,5e-324,0.0,0.0,4.65425028596124e-310,0.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=783444729)",0.0,4.6531175874662e-310,0.0,0.0,1.581e-320,0.0,0.0,5e-324,0.0,0.0,4.65425028596124e-310,0.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=793371634)",0.0,4.6531175874662e-310,0.0,0.0,1.581e-320,0.0,0.0,5e-324,0.0,0.0,4.65425028596124e-310,0.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=803501343)",0.0,4.6531175874662e-310,0.0,0.0,1.581e-320,0.0,0.0,5e-324,0.0,0.0,4.65425028596124e-310,0.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=813510699)",0.0,4.6531175874662e-310,0.0,0.0,1.581e-320,0.0,0.0,5e-324,0.0,0.0,4.65425028596124e-310,0.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=823598594)",0.0,4.6531175874662e-310,0.0,0.0,1.581e-320,0.0,0.0,5e-324,0.0,0.0,4.65425028596124e-310,0.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=833425409)",0.0,4.6531175874662e-310,0.0,0.0,1.581e-320,0.0,0.0,5e-324,0.0,0.0,4.65425028596124e-310,0.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=846250816)",0.0,4.6531175874662e-310,0.0,0.0,1.581e-320,0.0,0.0,5e-324,0.0,0.0,4.65425028596124e-310,0.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=853468390)",0.0,4.6531175874662e-310,0.0,0.0,1.581e-320,0.0,0.0,5e-324,0.0,0.0,4.65425028596124e-310,0.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=863360568)",0.0,4.6531175874662e-310,0.0,0.0,1.581e-320,0.0,0.0,5e-324,0.0,0.0,4.65425028596124e-310,0.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=873761005)",0.0,4.6531175874662e-310,0.0,0.0,1.581e-320,0.0,0.0,5e-324,0.0,0.0,4.65425028596124e-310,0.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=883624114)",0.0,4.6531175874662e-310,0.0,0.0,1.581e-320,0.0,0.0,5e-324,0.0,0.0,4.65425028596124e-310,0.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=893456134)",0.0,4.6531175874662e-310,0.0,0.0,1.581e-320,0.0,0.0,5e-324,0.0,0.0,4.65425028596124e-310,0.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=903327409)",0.0,4.6531175874662e-310,0.0,0.0,1.581e-320,0.0,0.0,5e-324,0.0,0.0,4.65425028596124e-310,0.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=913381787)",0.0,4.6531175874662e-310,0.0,0.0,1.581e-320,0.0,0.0,5e-324,0.0,0.0,4.65425028596124e-310,0.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=923572199)",0.0,4.6531175874662e-310,0.0,0.0,1.581e-320,0.0,0.0,5e-324,0.0,0.0,4.65425028596124e-310,0.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=933617858)",0.0,4.6531175874662e-310,0.0,0.0,1.581e-320,0.0,0.0,5e-324,0.0,0.0,4.65425028596124e-310,0.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=943608118)",0.0,4.6531175874662e-310,0.0,0.0,1.581e-320,0.0,0.0,5e-324,0.0,0.0,4.65425028596124e-310,0.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=953861097)",0.0,4.6531175874662e-310,0.0,0.0,1.581e-320,0.0,0.0,5e-324,0.0,0.0,4.65425028596124e-310,0.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=963798157)",0.0,4.6531175874662e-310,0.0,0.0,1.581e-320,0.0,0.0,5e-324,0.0,0.0,4.65425028596124e-310,0.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=973619671)",0.0,4.6531175874662e-310,0.0,0.0,1.581e-320,0.0,0.0,5e-324,0.0,0.0,4.65425028596124e-310,0.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=983453177)",0.0,4.6531175874662e-310,0.0,0.0,1.581e-320,0.0,0.0,5e-324,0.0,0.0,4.65425028596124e-310,0.0
"builtin_interfaces.msg.Time(sec=1751477601, nanosec=993359175)",0.0,4.6531175874662e-310,0.0,0.0,1.581e-320,0.0,0.0,5e-324,0.0,0.0,4.65425028596124e-310,0.0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=3481588)",0.0,4.6531175874662e-310,0.0,0.0,1.581e-320,0.0,0.0,5e-324,0.0,0.0,4.65425028596124e-310,0.0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=13623747)",0.0,4.6531175874662e-310,0.0,0.0,1.581e-320,0.0,0.0,5e-324,0.0,0.0,4.65425028596124e-310,0.0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=23524219)",0.0,4.6531175874662e-310,0.0,0.0,1.581e-320,0.0,0.0,5e-324,0.0,0.0,4.65425028596124e-310,0.0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=33509822)",0.0,4.6531175874662e-310,0.0,0.0,1.581e-320,0.0,0.0,5e-324,0.0,0.0,4.65425028596124e-310,0.0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=43792058)",0.0,4.6531175874662e-310,0.0,0.0,1.581e-320,0.0,0.0,5e-324,0.0,0.0,4.65425028596124e-310,0.0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=53477781)",0.0,4.6531175874662e-310,0.0,0.0,1.581e-320,0.0,0.0,5e-324,0.0,0.0,4.65425028596124e-310,0.0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=63598329)",0.0,4.6531175874662e-310,0.0,0.0,1.581e-320,0.0,0.0,5e-324,0.0,0.0,4.65425028596124e-310,0.0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=73449727)",0.0,4.6531175874662e-310,0.0,0.0,1.581e-320,0.0,0.0,5e-324,0.0,0.0,4.65425028596124e-310,0.0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=83866380)",0.0,4.6531175874662e-310,0.0,0.0,1.581e-320,0.0,0.0,5e-324,0.0,0.0,4.65425028596124e-310,0.0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=93896479)",0.0,4.6531175874662e-310,0.0,0.0,1.581e-320,0.0,0.0,5e-324,0.0,0.0,4.65425028596124e-310,0.0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=103506215)",0.0,4.6531175874662e-310,0.0,0.0,1.581e-320,0.0,0.0,5e-324,0.0,0.0,4.65425028596124e-310,0.0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=113624033)",0.0,4.6531175874662e-310,0.0,0.0,1.581e-320,0.0,0.0,5e-324,0.0,0.0,4.65425028596124e-310,0.0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=123578640)",0.0,4.6531175874662e-310,0.0,0.0,1.581e-320,0.0,0.0,5e-324,0.0,0.0,4.65425028596124e-310,0.0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=133512512)",0.0,4.6531175874662e-310,0.0,0.0,1.581e-320,0.0,0.0,5e-324,0.0,0.0,4.65425028596124e-310,0.0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=143544568)",0.0,4.6531175874662e-310,0.0,0.0,1.581e-320,0.0,0.0,5e-324,0.0,0.0,4.65425028596124e-310,0.0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=153374905)",0.0,4.6531175874662e-310,0.0,0.0,1.581e-320,0.0,0.0,5e-324,0.0,0.0,4.65425028596124e-310,0.0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=163718531)",0.0,4.6531175874662e-310,0.0,0.0,1.581e-320,0.0,0.0,5e-324,0.0,0.0,4.65425028596124e-310,0.0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=173465543)",0.0,4.6531175874662e-310,0.0,0.0,1.581e-320,0.0,0.0,5e-324,0.0,0.0,4.65425028596124e-310,0.0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=183448984)",0.0,4.6531175874662e-310,0.0,0.0,1.581e-320,0.0,0.0,5e-324,0.0,0.0,4.65425028596124e-310,0.0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=193627217)",0.0,4.6531175874662e-310,0.0,0.0,1.581e-320,0.0,0.0,5e-324,0.0,0.0,4.65425028596124e-310,0.0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=203418256)",0.0,4.6531175874662e-310,0.0,0.0,1.581e-320,0.0,0.0,5e-324,0.0,0.0,4.65425028596124e-310,0.0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=213397103)",0.0,4.6531175874662e-310,0.0,0.0,1.581e-320,0.0,0.0,5e-324,0.0,0.0,4.65425028596124e-310,0.0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=223568995)",0.0,4.6531175874662e-310,0.0,0.0,1.581e-320,0.0,0.0,5e-324,0.0,0.0,4.65425028596124e-310,0.0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=233675231)",0.0,4.6531175874662e-310,0.0,0.0,1.581e-320,0.0,0.0,5e-324,0.0,0.0,4.65425028596124e-310,0.0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=243456209)",0.0,4.6531175874662e-310,0.0,0.0,1.581e-320,0.0,0.0,5e-324,0.0,0.0,4.65425028596124e-310,0.0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=253366608)",0.0,4.6531175874662e-310,0.0,0.0,1.581e-320,0.0,0.0,5e-324,0.0,0.0,4.65425028596124e-310,0.0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=263597335)",0.0,4.6531175874662e-310,0.0,0.0,1.581e-320,0.0,0.0,5e-324,0.0,0.0,4.65425028596124e-310,0.0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=273525413)",0.0,4.6531175874662e-310,0.0,0.0,1.581e-320,0.0,0.0,5e-324,0.0,0.0,4.65425028596124e-310,0.0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=283556288)",0.0,4.6531175874662e-310,0.0,0.0,1.581e-320,0.0,0.0,5e-324,0.0,0.0,4.65425028596124e-310,0.0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=293383358)",0.0,4.6531175874662e-310,0.0,0.0,1.581e-320,0.0,0.0,5e-324,0.0,0.0,4.65425028596124e-310,0.0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=303554804)",0.0,4.6531175874662e-310,0.0,0.0,1.581e-320,0.0,0.0,5e-324,0.0,0.0,4.65425028596124e-310,0.0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=313576763)",0.0,4.6531175874662e-310,0.0,0.0,1.581e-320,0.0,0.0,5e-324,0.0,0.0,4.65425028596124e-310,0.0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=323624360)",0.0,4.6531175874662e-310,0.0,0.0,1.581e-320,0.0,0.0,5e-324,0.0,0.0,4.65425028596124e-310,0.0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=333511084)",0.0,4.6531175874662e-310,0.0,0.0,1.581e-320,0.0,0.0,5e-324,0.0,0.0,4.65425028596124e-310,0.0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=344190609)",0.0,4.6531175874662e-310,0.0,0.0,1.581e-320,0.0,0.0,5e-324,0.0,0.0,4.65425028596124e-310,0.0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=353418446)",0.0,4.6531175874662e-310,0.0,0.0,1.581e-320,0.0,0.0,5e-324,0.0,0.0,4.65425028596124e-310,0.0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=363309015)",0.0,4.6531175874662e-310,0.0,0.0,1.581e-320,0.0,0.0,5e-324,0.0,0.0,4.65425028596124e-310,0.0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=373519028)",0.0,4.6531175874662e-310,0.0,0.0,1.581e-320,0.0,0.0,5e-324,0.0,0.0,4.65425028596124e-310,0.0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=383571976)",0.0,4.6531175874662e-310,0.0,0.0,1.581e-320,0.0,0.0,5e-324,0.0,0.0,4.65425028596124e-310,0.0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=393406200)",0.0,4.6531175874662e-310,0.0,0.0,1.581e-320,0.0,0.0,5e-324,0.0,0.0,4.65425028596124e-310,0.0
"builtin_interfaces.msg.Time(sec=1751477602, nanosec=403607345)",0.0,4.6531175874662e-310,0.0,0.0,1.581e-320,0.0,0.0,5e-324,0.0,0.0,4.65425028596124e-310,0.0
