stamp,average_steering_ang_fdbk,secondary_steering_ang_fdbk,primary_steering_angle_fbk
"builtin_interfaces.msg.Time(sec=1751478067, nanosec=15875334)",-58.0,-58.5,-57.5
"builtin_interfaces.msg.Time(sec=1751478067, nanosec=25946296)",-58.0,-58.5,-57.5
"builtin_interfaces.msg.Time(sec=1751478067, nanosec=35891401)",-58.0,-58.5,-58.0
"builtin_interfaces.msg.Time(sec=1751478067, nanosec=45912993)",-58.0,-58.5,-57.5
"builtin_interfaces.msg.Time(sec=1751478067, nanosec=55894998)",-58.0,-58.5,-57.5
"builtin_interfaces.msg.Time(sec=1751478067, nanosec=65940080)",-58.0,-58.5,-57.5
"builtin_interfaces.msg.Time(sec=1751478067, nanosec=75872149)",-58.0,-58.5,-57.5
"builtin_interfaces.msg.Time(sec=1751478067, nanosec=85906221)",-58.0,-58.5,-57.5
"builtin_interfaces.msg.Time(sec=1751478067, nanosec=95925580)",-58.0,-58.5,-57.5
"builtin_interfaces.msg.Time(sec=1751478067, nanosec=105932519)",-58.0,-58.5,-58.0
"builtin_interfaces.msg.Time(sec=1751478067, nanosec=115912832)",-58.0,-58.5,-57.5
"builtin_interfaces.msg.Time(sec=1751478067, nanosec=126028474)",-58.0,-58.5,-57.5
"builtin_interfaces.msg.Time(sec=1751478067, nanosec=135914595)",-58.0,-58.5,-57.5
"builtin_interfaces.msg.Time(sec=1751478067, nanosec=145865582)",-58.0,-58.5,-58.0
"builtin_interfaces.msg.Time(sec=1751478067, nanosec=156299549)",-58.0,-58.5,-57.5
"builtin_interfaces.msg.Time(sec=1751478067, nanosec=166482570)",-58.0,-58.5,-58.0
"builtin_interfaces.msg.Time(sec=1751478067, nanosec=176398696)",-58.0,-58.5,-57.5
"builtin_interfaces.msg.Time(sec=1751478067, nanosec=185921420)",-58.0,-58.5,-57.5
"builtin_interfaces.msg.Time(sec=1751478067, nanosec=196251934)",-58.0,-58.5,-57.5
"builtin_interfaces.msg.Time(sec=1751478067, nanosec=206061323)",-58.0,-58.5,-58.0
"builtin_interfaces.msg.Time(sec=1751478067, nanosec=215923884)",-58.0,-58.5,-57.5
"builtin_interfaces.msg.Time(sec=1751478067, nanosec=225908581)",-58.0,-58.5,-57.5
"builtin_interfaces.msg.Time(sec=1751478067, nanosec=235920125)",-58.0,-58.5,-58.0
"builtin_interfaces.msg.Time(sec=1751478067, nanosec=245945386)",-58.0,-58.5,-57.5
"builtin_interfaces.msg.Time(sec=1751478067, nanosec=255928925)",-58.0,-58.5,-57.5
"builtin_interfaces.msg.Time(sec=1751478067, nanosec=265939772)",-58.0,-58.5,-57.5
"builtin_interfaces.msg.Time(sec=1751478067, nanosec=275873216)",-58.0,-58.5,-58.0
"builtin_interfaces.msg.Time(sec=1751478067, nanosec=287677930)",-58.0,-58.5,-57.5
"builtin_interfaces.msg.Time(sec=1751478067, nanosec=296249773)",-58.0,-58.5,-57.5
"builtin_interfaces.msg.Time(sec=1751478067, nanosec=305897043)",-58.0,-58.5,-57.5
"builtin_interfaces.msg.Time(sec=1751478067, nanosec=315921761)",-58.0,-58.5,-57.5
"builtin_interfaces.msg.Time(sec=1751478067, nanosec=325911213)",-58.0,-58.5,-57.5
"builtin_interfaces.msg.Time(sec=1751478067, nanosec=335914728)",-58.0,-58.5,-58.0
"builtin_interfaces.msg.Time(sec=1751478067, nanosec=345888810)",-58.0,-58.5,-58.0
"builtin_interfaces.msg.Time(sec=1751478067, nanosec=356365382)",-58.0,-58.5,-58.0
"builtin_interfaces.msg.Time(sec=1751478067, nanosec=365924825)",-58.0,-58.5,-57.5
"builtin_interfaces.msg.Time(sec=1751478067, nanosec=378013147)",-58.0,-58.5,-57.5
"builtin_interfaces.msg.Time(sec=1751478067, nanosec=385904002)",-58.0,-58.5,-57.5
"builtin_interfaces.msg.Time(sec=1751478067, nanosec=396575103)",-58.0,-58.5,-57.5
"builtin_interfaces.msg.Time(sec=1751478067, nanosec=405936834)",-58.5,-58.5,-58.0
"builtin_interfaces.msg.Time(sec=1751478067, nanosec=415876908)",-58.5,-58.5,-58.5
"builtin_interfaces.msg.Time(sec=1751478067, nanosec=425862676)",-58.0,-58.5,-57.5
"builtin_interfaces.msg.Time(sec=1751478067, nanosec=436356319)",-58.5,-58.5,-58.0
"builtin_interfaces.msg.Time(sec=1751478067, nanosec=445950218)",-58.5,-59.0,-58.5
"builtin_interfaces.msg.Time(sec=1751478067, nanosec=455904986)",-58.0,-58.5,-58.0
"builtin_interfaces.msg.Time(sec=1751478067, nanosec=465872827)",-58.5,-58.5,-58.0
"builtin_interfaces.msg.Time(sec=1751478067, nanosec=476244300)",-58.0,-58.5,-58.0
"builtin_interfaces.msg.Time(sec=1751478067, nanosec=486632870)",-58.5,-58.5,-58.5
"builtin_interfaces.msg.Time(sec=1751478067, nanosec=498387702)",-58.5,-58.5,-58.0
"builtin_interfaces.msg.Time(sec=1751478067, nanosec=506022901)",-58.5,-59.0,-58.0
"builtin_interfaces.msg.Time(sec=1751478067, nanosec=515970076)",-58.5,-59.0,-58.5
"builtin_interfaces.msg.Time(sec=1751478067, nanosec=526004882)",-58.5,-58.5,-58.0
"builtin_interfaces.msg.Time(sec=1751478067, nanosec=535906488)",-58.5,-58.5,-58.0
"builtin_interfaces.msg.Time(sec=1751478067, nanosec=545894707)",-58.5,-58.5,-58.0
"builtin_interfaces.msg.Time(sec=1751478067, nanosec=555943328)",-58.5,-58.5,-58.0
"builtin_interfaces.msg.Time(sec=1751478067, nanosec=565947934)",-58.5,-58.5,-58.0
"builtin_interfaces.msg.Time(sec=1751478067, nanosec=575878746)",-58.5,-58.5,-58.5
"builtin_interfaces.msg.Time(sec=1751478067, nanosec=585868406)",-58.5,-58.5,-58.0
"builtin_interfaces.msg.Time(sec=1751478067, nanosec=595920941)",-58.0,-58.5,-58.0
"builtin_interfaces.msg.Time(sec=1751478067, nanosec=605926442)",-58.5,-58.5,-58.0
"builtin_interfaces.msg.Time(sec=1751478067, nanosec=616300450)",-58.5,-58.5,-58.0
"builtin_interfaces.msg.Time(sec=1751478067, nanosec=625911798)",-58.5,-58.5,-58.0
"builtin_interfaces.msg.Time(sec=1751478067, nanosec=635894727)",-58.0,-58.5,-57.5
"builtin_interfaces.msg.Time(sec=1751478067, nanosec=646519056)",-58.5,-58.5,-58.0
"builtin_interfaces.msg.Time(sec=1751478067, nanosec=655878727)",-58.0,-58.5,-57.5
"builtin_interfaces.msg.Time(sec=1751478067, nanosec=665936641)",-58.5,-58.5,-58.0
"builtin_interfaces.msg.Time(sec=1751478067, nanosec=676829182)",-58.5,-58.5,-58.0
"builtin_interfaces.msg.Time(sec=1751478067, nanosec=685954419)",-58.5,-58.5,-58.0
"builtin_interfaces.msg.Time(sec=1751478067, nanosec=695944879)",-58.5,-58.5,-58.5
"builtin_interfaces.msg.Time(sec=1751478067, nanosec=705932528)",-58.0,-58.5,-58.0
"builtin_interfaces.msg.Time(sec=1751478067, nanosec=716013782)",-58.5,-58.5,-58.0
"builtin_interfaces.msg.Time(sec=1751478067, nanosec=725932368)",-58.5,-58.5,-58.0
"builtin_interfaces.msg.Time(sec=1751478067, nanosec=735937459)",-58.5,-59.0,-58.0
"builtin_interfaces.msg.Time(sec=1751478067, nanosec=746526626)",-58.5,-59.0,-58.0
"builtin_interfaces.msg.Time(sec=1751478067, nanosec=756039219)",-58.5,-59.0,-58.0
"builtin_interfaces.msg.Time(sec=1751478067, nanosec=765932689)",-58.5,-58.5,-58.0
"builtin_interfaces.msg.Time(sec=1751478067, nanosec=775937241)",-58.5,-58.5,-58.0
"builtin_interfaces.msg.Time(sec=1751478067, nanosec=785928173)",-58.5,-58.5,-58.0
"builtin_interfaces.msg.Time(sec=1751478067, nanosec=795896893)",-58.5,-58.5,-58.0
"builtin_interfaces.msg.Time(sec=1751478067, nanosec=810335867)",-58.0,-58.5,-57.5
"builtin_interfaces.msg.Time(sec=1751478067, nanosec=815979762)",-58.5,-58.5,-58.0
"builtin_interfaces.msg.Time(sec=1751478067, nanosec=826165994)",-58.5,-58.5,-58.0
"builtin_interfaces.msg.Time(sec=1751478067, nanosec=835868981)",-58.5,-58.5,-58.5
"builtin_interfaces.msg.Time(sec=1751478067, nanosec=845961728)",-58.5,-58.5,-58.0
"builtin_interfaces.msg.Time(sec=1751478067, nanosec=856989722)",-58.5,-58.5,-58.0
"builtin_interfaces.msg.Time(sec=1751478067, nanosec=866361418)",-58.5,-58.5,-58.0
"builtin_interfaces.msg.Time(sec=1751478067, nanosec=875922089)",-58.5,-58.5,-58.0
"builtin_interfaces.msg.Time(sec=1751478067, nanosec=885928737)",-58.5,-58.5,-58.0
"builtin_interfaces.msg.Time(sec=1751478067, nanosec=895859555)",-58.5,-58.5,-58.0
"builtin_interfaces.msg.Time(sec=1751478067, nanosec=905941136)",-58.5,-58.5,-58.5
"builtin_interfaces.msg.Time(sec=1751478067, nanosec=915916996)",-58.5,-59.0,-58.0
"builtin_interfaces.msg.Time(sec=1751478067, nanosec=926071267)",-58.5,-58.5,-58.0
"builtin_interfaces.msg.Time(sec=1751478067, nanosec=936051493)",-58.5,-58.5,-58.0
"builtin_interfaces.msg.Time(sec=1751478067, nanosec=945912428)",-58.5,-58.5,-58.5
"builtin_interfaces.msg.Time(sec=1751478067, nanosec=955945242)",-58.5,-59.0,-58.5
"builtin_interfaces.msg.Time(sec=1751478067, nanosec=966119761)",-58.5,-58.5,-58.0
"builtin_interfaces.msg.Time(sec=1751478067, nanosec=975912715)",-58.5,-58.5,-58.0
"builtin_interfaces.msg.Time(sec=1751478067, nanosec=985880403)",-58.5,-58.5,-58.5
"builtin_interfaces.msg.Time(sec=1751478067, nanosec=995863155)",-58.5,-58.5,-58.0
"builtin_interfaces.msg.Time(sec=1751478068, nanosec=5906610)",-58.5,-59.0,-58.5
"builtin_interfaces.msg.Time(sec=1751478068, nanosec=15887379)",-58.0,-58.5,-57.5
"builtin_interfaces.msg.Time(sec=1751478068, nanosec=25852681)",-58.5,-58.5,-58.5
"builtin_interfaces.msg.Time(sec=1751478068, nanosec=36146402)",-58.5,-59.0,-58.0
"builtin_interfaces.msg.Time(sec=1751478068, nanosec=45864045)",-58.5,-58.5,-58.5
"builtin_interfaces.msg.Time(sec=1751478068, nanosec=55870805)",-58.5,-59.0,-58.5
"builtin_interfaces.msg.Time(sec=1751478068, nanosec=66166093)",-58.5,-58.5,-58.5
"builtin_interfaces.msg.Time(sec=1751478068, nanosec=76086980)",-58.5,-58.5,-58.0
"builtin_interfaces.msg.Time(sec=1751478068, nanosec=86188652)",-58.5,-59.0,-58.0
"builtin_interfaces.msg.Time(sec=1751478068, nanosec=96760175)",-58.5,-59.0,-58.0
"builtin_interfaces.msg.Time(sec=1751478068, nanosec=106198235)",-58.5,-58.5,-58.0
"builtin_interfaces.msg.Time(sec=1751478068, nanosec=118323129)",-58.5,-59.0,-58.5
"builtin_interfaces.msg.Time(sec=1751478068, nanosec=126195618)",-58.5,-59.0,-58.0
"builtin_interfaces.msg.Time(sec=1751478068, nanosec=135898295)",-58.5,-59.0,-58.5
"builtin_interfaces.msg.Time(sec=1751478068, nanosec=145868692)",-58.5,-59.0,-58.5
"builtin_interfaces.msg.Time(sec=1751478068, nanosec=155870449)",-58.5,-59.0,-58.5
"builtin_interfaces.msg.Time(sec=1751478068, nanosec=170369387)",-58.5,-59.0,-58.0
"builtin_interfaces.msg.Time(sec=1751478068, nanosec=175877974)",-58.5,-59.0,-58.0
"builtin_interfaces.msg.Time(sec=1751478068, nanosec=185862763)",-58.5,-59.0,-58.0
"builtin_interfaces.msg.Time(sec=1751478068, nanosec=195897835)",-58.5,-59.0,-58.0
"builtin_interfaces.msg.Time(sec=1751478068, nanosec=205912174)",-58.5,-59.0,-58.5
"builtin_interfaces.msg.Time(sec=1751478068, nanosec=215855321)",-58.5,-58.5,-58.5
"builtin_interfaces.msg.Time(sec=1751478068, nanosec=225896537)",-58.5,-59.0,-58.5
"builtin_interfaces.msg.Time(sec=1751478068, nanosec=236163704)",-58.5,-59.0,-58.0
"builtin_interfaces.msg.Time(sec=1751478068, nanosec=245904014)",-58.5,-59.0,-58.0
"builtin_interfaces.msg.Time(sec=1751478068, nanosec=256861054)",-58.5,-59.0,-58.0
"builtin_interfaces.msg.Time(sec=1751478068, nanosec=265912662)",-58.5,-59.0,-58.0
"builtin_interfaces.msg.Time(sec=1751478068, nanosec=275888722)",-58.5,-59.0,-58.5
"builtin_interfaces.msg.Time(sec=1751478068, nanosec=285895104)",-58.5,-59.0,-58.0
"builtin_interfaces.msg.Time(sec=1751478068, nanosec=295882835)",-58.5,-58.5,-58.5
"builtin_interfaces.msg.Time(sec=1751478068, nanosec=306384027)",-58.5,-59.0,-58.0
"builtin_interfaces.msg.Time(sec=1751478068, nanosec=315928843)",-58.5,-59.0,-58.5
"builtin_interfaces.msg.Time(sec=1751478068, nanosec=325903635)",-58.5,-59.0,-58.5
"builtin_interfaces.msg.Time(sec=1751478068, nanosec=335946871)",-58.5,-59.0,-58.0
"builtin_interfaces.msg.Time(sec=1751478068, nanosec=335946871)",-58.5,-59.0,-58.0
"builtin_interfaces.msg.Time(sec=1751478068, nanosec=355945458)",-58.5,-59.0,-58.5
"builtin_interfaces.msg.Time(sec=1751478068, nanosec=365932621)",-58.5,-59.0,-58.0
"builtin_interfaces.msg.Time(sec=1751478068, nanosec=375913410)",-58.5,-59.0,-58.0
"builtin_interfaces.msg.Time(sec=1751478068, nanosec=385897959)",-58.5,-59.0,-58.0
"builtin_interfaces.msg.Time(sec=1751478068, nanosec=396134098)",-58.5,-59.0,-58.0
"builtin_interfaces.msg.Time(sec=1751478068, nanosec=406749409)",-58.5,-59.0,-58.0
"builtin_interfaces.msg.Time(sec=1751478068, nanosec=415890515)",-58.5,-59.0,-58.5
"builtin_interfaces.msg.Time(sec=1751478068, nanosec=426617813)",-58.5,-59.0,-58.5
"builtin_interfaces.msg.Time(sec=1751478068, nanosec=438307476)",-58.5,-59.0,-58.5
"builtin_interfaces.msg.Time(sec=1751478068, nanosec=447421085)",-58.5,-59.0,-58.5
"builtin_interfaces.msg.Time(sec=1751478068, nanosec=455897739)",-58.5,-59.0,-58.5
"builtin_interfaces.msg.Time(sec=1751478068, nanosec=466650991)",-58.5,-59.0,-58.5
"builtin_interfaces.msg.Time(sec=1751478068, nanosec=475912510)",-58.5,-59.0,-58.5
"builtin_interfaces.msg.Time(sec=1751478068, nanosec=486342087)",-58.5,-59.0,-58.0
"builtin_interfaces.msg.Time(sec=1751478068, nanosec=495918140)",-58.5,-59.0,-58.0
"builtin_interfaces.msg.Time(sec=1751478068, nanosec=505927178)",-58.5,-59.0,-58.0
"builtin_interfaces.msg.Time(sec=1751478068, nanosec=515857557)",-58.5,-59.0,-58.0
"builtin_interfaces.msg.Time(sec=1751478068, nanosec=526192286)",-58.5,-59.0,-58.5
"builtin_interfaces.msg.Time(sec=1751478068, nanosec=536806035)",-58.5,-59.0,-58.5
"builtin_interfaces.msg.Time(sec=1751478068, nanosec=546422193)",-58.5,-59.0,-58.0
"builtin_interfaces.msg.Time(sec=1751478068, nanosec=556112616)",-58.5,-59.0,-58.0
"builtin_interfaces.msg.Time(sec=1751478068, nanosec=565934980)",-58.5,-59.0,-58.5
"builtin_interfaces.msg.Time(sec=1751478068, nanosec=576589238)",-58.5,-59.0,-58.5
"builtin_interfaces.msg.Time(sec=1751478068, nanosec=586383494)",-58.5,-59.0,-58.5
"builtin_interfaces.msg.Time(sec=1751478068, nanosec=595898780)",-58.5,-59.0,-58.0
"builtin_interfaces.msg.Time(sec=1751478068, nanosec=605908026)",-58.5,-59.0,-58.5
"builtin_interfaces.msg.Time(sec=1751478068, nanosec=615892649)",-58.5,-59.0,-58.0
"builtin_interfaces.msg.Time(sec=1751478068, nanosec=626068368)",-58.5,-59.0,-58.5
"builtin_interfaces.msg.Time(sec=1751478068, nanosec=637477965)",-58.5,-59.0,-58.5
"builtin_interfaces.msg.Time(sec=1751478068, nanosec=647074927)",-58.5,-59.0,-58.5
"builtin_interfaces.msg.Time(sec=1751478068, nanosec=655920749)",-58.5,-59.0,-58.0
"builtin_interfaces.msg.Time(sec=1751478068, nanosec=665898426)",-58.5,-59.0,-58.5
"builtin_interfaces.msg.Time(sec=1751478068, nanosec=675844058)",-58.5,-59.0,-58.5
"builtin_interfaces.msg.Time(sec=1751478068, nanosec=686043060)",-58.5,-59.0,-58.5
"builtin_interfaces.msg.Time(sec=1751478068, nanosec=697249767)",-58.5,-59.0,-58.0
"builtin_interfaces.msg.Time(sec=1751478068, nanosec=708113501)",-58.5,-59.0,-58.0
"builtin_interfaces.msg.Time(sec=1751478068, nanosec=716045704)",-58.5,-59.0,-58.5
"builtin_interfaces.msg.Time(sec=1751478068, nanosec=726514849)",-58.5,-59.0,-58.5
"builtin_interfaces.msg.Time(sec=1751478068, nanosec=735874665)",-58.5,-59.0,-58.5
"builtin_interfaces.msg.Time(sec=1751478068, nanosec=745965531)",-58.5,-59.0,-58.5
"builtin_interfaces.msg.Time(sec=1751478068, nanosec=756142153)",-58.5,-59.0,-58.5
"builtin_interfaces.msg.Time(sec=1751478068, nanosec=765913051)",-58.5,-59.0,-58.5
"builtin_interfaces.msg.Time(sec=1751478068, nanosec=775886997)",-58.5,-59.0,-58.5
"builtin_interfaces.msg.Time(sec=1751478068, nanosec=775886997)",-58.5,-59.0,-58.5
"builtin_interfaces.msg.Time(sec=1751478068, nanosec=795942303)",-58.5,-59.0,-58.5
"builtin_interfaces.msg.Time(sec=1751478068, nanosec=806007225)",-58.5,-59.0,-58.0
"builtin_interfaces.msg.Time(sec=1751478068, nanosec=815900179)",-58.5,-59.0,-58.5
"builtin_interfaces.msg.Time(sec=1751478068, nanosec=825898324)",-58.5,-59.0,-58.5
"builtin_interfaces.msg.Time(sec=1751478068, nanosec=835895744)",-58.5,-59.0,-58.5
"builtin_interfaces.msg.Time(sec=1751478068, nanosec=845899624)",-58.5,-59.0,-58.0
"builtin_interfaces.msg.Time(sec=1751478068, nanosec=855899242)",-58.5,-59.0,-58.0
"builtin_interfaces.msg.Time(sec=1751478068, nanosec=869245378)",-58.5,-59.0,-58.5
"builtin_interfaces.msg.Time(sec=1751478068, nanosec=875882928)",-58.5,-59.0,-58.5
"builtin_interfaces.msg.Time(sec=1751478068, nanosec=885942234)",-58.5,-59.0,-58.5
"builtin_interfaces.msg.Time(sec=1751478068, nanosec=895965334)",-58.5,-59.0,-58.0
"builtin_interfaces.msg.Time(sec=1751478068, nanosec=905907153)",-58.5,-59.0,-58.5
"builtin_interfaces.msg.Time(sec=1751478068, nanosec=915908280)",-58.5,-59.0,-58.0
"builtin_interfaces.msg.Time(sec=1751478068, nanosec=925924656)",-58.5,-59.0,-58.5
"builtin_interfaces.msg.Time(sec=1751478068, nanosec=935897018)",-58.5,-59.0,-58.5
"builtin_interfaces.msg.Time(sec=1751478068, nanosec=945901324)",-58.5,-59.0,-58.0
"builtin_interfaces.msg.Time(sec=1751478068, nanosec=955844686)",-58.5,-59.0,-58.0
"builtin_interfaces.msg.Time(sec=1751478068, nanosec=966434833)",-58.5,-59.0,-58.5
"builtin_interfaces.msg.Time(sec=1751478068, nanosec=976407528)",-58.5,-59.0,-58.5
"builtin_interfaces.msg.Time(sec=1751478068, nanosec=985919839)",-58.5,-59.0,-58.0
"builtin_interfaces.msg.Time(sec=1751478068, nanosec=997052945)",-58.5,-59.0,-58.5
"builtin_interfaces.msg.Time(sec=1751478069, nanosec=5918428)",-58.5,-59.0,-58.0
"builtin_interfaces.msg.Time(sec=1751478069, nanosec=16383795)",-58.5,-59.0,-58.0
"builtin_interfaces.msg.Time(sec=1751478069, nanosec=25901624)",-58.5,-58.5,-58.5
"builtin_interfaces.msg.Time(sec=1751478069, nanosec=35915176)",-58.5,-59.0,-58.0
"builtin_interfaces.msg.Time(sec=1751478069, nanosec=45894732)",-58.5,-59.0,-58.0
"builtin_interfaces.msg.Time(sec=1751478069, nanosec=55944937)",-58.5,-59.0,-58.0
"builtin_interfaces.msg.Time(sec=1751478069, nanosec=55944937)",-58.5,-59.0,-58.5
"builtin_interfaces.msg.Time(sec=1751478069, nanosec=76777866)",-58.5,-59.0,-58.0
"builtin_interfaces.msg.Time(sec=1751478069, nanosec=85909085)",-58.5,-59.0,-58.0
"builtin_interfaces.msg.Time(sec=1751478069, nanosec=95907249)",-58.5,-59.0,-58.5
"builtin_interfaces.msg.Time(sec=1751478069, nanosec=106074157)",-58.5,-59.0,-58.5
"builtin_interfaces.msg.Time(sec=1751478069, nanosec=115900676)",-58.5,-59.0,-58.0
"builtin_interfaces.msg.Time(sec=1751478069, nanosec=125851733)",-58.5,-59.0,-58.5
"builtin_interfaces.msg.Time(sec=1751478069, nanosec=135969546)",-58.5,-59.0,-58.5
"builtin_interfaces.msg.Time(sec=1751478069, nanosec=146004977)",-58.5,-59.0,-58.0
"builtin_interfaces.msg.Time(sec=1751478069, nanosec=155927509)",-58.5,-59.0,-58.5
"builtin_interfaces.msg.Time(sec=1751478069, nanosec=165965404)",-58.5,-59.0,-58.5
"builtin_interfaces.msg.Time(sec=1751478069, nanosec=175942699)",-58.5,-59.0,-58.0
"builtin_interfaces.msg.Time(sec=1751478069, nanosec=185899600)",-58.5,-59.0,-58.5
"builtin_interfaces.msg.Time(sec=1751478069, nanosec=195968104)",-58.5,-59.0,-58.0
"builtin_interfaces.msg.Time(sec=1751478069, nanosec=205942784)",-58.5,-59.0,-58.0
"builtin_interfaces.msg.Time(sec=1751478069, nanosec=215887105)",-58.0,-58.5,-57.5
"builtin_interfaces.msg.Time(sec=1751478069, nanosec=226014942)",-57.0,-57.5,-56.5
"builtin_interfaces.msg.Time(sec=1751478069, nanosec=235918372)",-56.0,-56.5,-55.5
"builtin_interfaces.msg.Time(sec=1751478069, nanosec=245921643)",-55.0,-55.0,-54.5
"builtin_interfaces.msg.Time(sec=1751478069, nanosec=255911443)",-53.5,-54.0,-53.5
"builtin_interfaces.msg.Time(sec=1751478069, nanosec=265912432)",-52.0,-52.5,-52.0
"builtin_interfaces.msg.Time(sec=1751478069, nanosec=275947313)",-51.0,-51.0,-51.0
"builtin_interfaces.msg.Time(sec=1751478069, nanosec=285922953)",-50.0,-50.0,-49.5
"builtin_interfaces.msg.Time(sec=1751478069, nanosec=295879903)",-48.5,-48.5,-48.5
"builtin_interfaces.msg.Time(sec=1751478069, nanosec=306953537)",-47.0,-47.5,-47.0
"builtin_interfaces.msg.Time(sec=1751478069, nanosec=315915263)",-46.5,-46.5,-46.5
"builtin_interfaces.msg.Time(sec=1751478069, nanosec=325913210)",-46.0,-46.0,-45.5
"builtin_interfaces.msg.Time(sec=1751478069, nanosec=335947211)",-47.0,-47.0,-47.5
"builtin_interfaces.msg.Time(sec=1751478069, nanosec=345916880)",-49.5,-49.5,-49.5
"builtin_interfaces.msg.Time(sec=1751478069, nanosec=355899312)",-52.0,-52.0,-52.0
"builtin_interfaces.msg.Time(sec=1751478069, nanosec=365939991)",-53.5,-53.5,-53.5
"builtin_interfaces.msg.Time(sec=1751478069, nanosec=375847221)",-54.0,-54.0,-54.5
"builtin_interfaces.msg.Time(sec=1751478069, nanosec=385926902)",-54.5,-54.5,-54.5
"builtin_interfaces.msg.Time(sec=1751478069, nanosec=395983572)",-54.5,-54.5,-54.5
"builtin_interfaces.msg.Time(sec=1751478069, nanosec=405927706)",-55.0,-55.0,-55.0
"builtin_interfaces.msg.Time(sec=1751478069, nanosec=415898678)",-55.5,-55.5,-55.5
"builtin_interfaces.msg.Time(sec=1751478069, nanosec=426404153)",-55.5,-55.5,-55.5
"builtin_interfaces.msg.Time(sec=1751478069, nanosec=435989963)",-55.5,-55.5,-55.5
"builtin_interfaces.msg.Time(sec=1751478069, nanosec=447142684)",-56.0,-56.0,-55.5
"builtin_interfaces.msg.Time(sec=1751478069, nanosec=455912110)",-56.0,-56.0,-56.0
"builtin_interfaces.msg.Time(sec=1751478069, nanosec=465887234)",-56.5,-56.5,-56.5
"builtin_interfaces.msg.Time(sec=1751478069, nanosec=475844282)",-56.5,-56.5,-56.5
"builtin_interfaces.msg.Time(sec=1751478069, nanosec=485900173)",-56.5,-56.5,-56.5
"builtin_interfaces.msg.Time(sec=1751478069, nanosec=495846825)",-56.5,-56.5,-56.0
"builtin_interfaces.msg.Time(sec=1751478069, nanosec=505895659)",-56.5,-56.5,-56.5
"builtin_interfaces.msg.Time(sec=1751478069, nanosec=516290625)",-56.5,-56.5,-56.5
"builtin_interfaces.msg.Time(sec=1751478069, nanosec=525926849)",-57.0,-57.0,-56.5
"builtin_interfaces.msg.Time(sec=1751478069, nanosec=535907517)",-57.0,-57.0,-56.5
"builtin_interfaces.msg.Time(sec=1751478069, nanosec=545888120)",-57.0,-57.0,-56.5
"builtin_interfaces.msg.Time(sec=1751478069, nanosec=556333852)",-57.0,-57.0,-56.5
"builtin_interfaces.msg.Time(sec=1751478069, nanosec=566355932)",-57.0,-57.0,-57.0
"builtin_interfaces.msg.Time(sec=1751478069, nanosec=575894705)",-57.0,-57.0,-56.5
"builtin_interfaces.msg.Time(sec=1751478069, nanosec=586346837)",-57.0,-57.0,-56.5
"builtin_interfaces.msg.Time(sec=1751478069, nanosec=595874187)",-57.0,-57.0,-57.0
"builtin_interfaces.msg.Time(sec=1751478069, nanosec=605958108)",-57.0,-57.0,-56.5
"builtin_interfaces.msg.Time(sec=1751478069, nanosec=615915655)",-57.0,-57.0,-56.5
"builtin_interfaces.msg.Time(sec=1751478069, nanosec=625896311)",-57.0,-57.0,-57.0
"builtin_interfaces.msg.Time(sec=1751478069, nanosec=636677886)",-57.0,-57.0,-56.5
"builtin_interfaces.msg.Time(sec=1751478069, nanosec=645904677)",-57.0,-57.0,-57.0
"builtin_interfaces.msg.Time(sec=1751478069, nanosec=655871484)",-57.0,-57.0,-57.0
"builtin_interfaces.msg.Time(sec=1751478069, nanosec=665902094)",-57.0,-57.0,-57.0
"builtin_interfaces.msg.Time(sec=1751478069, nanosec=676349505)",-57.0,-57.0,-57.0
"builtin_interfaces.msg.Time(sec=1751478069, nanosec=686494737)",-57.0,-57.0,-57.0
"builtin_interfaces.msg.Time(sec=1751478069, nanosec=696639423)",-57.0,-57.5,-57.0
"builtin_interfaces.msg.Time(sec=1751478069, nanosec=706929200)",-57.0,-57.5,-57.0
"builtin_interfaces.msg.Time(sec=1751478069, nanosec=716001185)",-57.0,-57.0,-57.0
"builtin_interfaces.msg.Time(sec=1751478069, nanosec=726015555)",-57.0,-57.0,-57.0
"builtin_interfaces.msg.Time(sec=1751478069, nanosec=735875024)",-57.0,-57.5,-57.0
"builtin_interfaces.msg.Time(sec=1751478069, nanosec=745893583)",-57.0,-57.5,-57.0
"builtin_interfaces.msg.Time(sec=1751478069, nanosec=757836530)",-57.0,-57.5,-57.0
"builtin_interfaces.msg.Time(sec=1751478069, nanosec=765839377)",-57.0,-57.5,-57.0
"builtin_interfaces.msg.Time(sec=1751478069, nanosec=776816381)",-57.5,-57.5,-57.5
"builtin_interfaces.msg.Time(sec=1751478069, nanosec=785896968)",-57.0,-57.5,-57.0
"builtin_interfaces.msg.Time(sec=1751478069, nanosec=795925780)",-57.0,-57.5,-57.0
"builtin_interfaces.msg.Time(sec=1751478069, nanosec=805887142)",-57.5,-57.5,-57.5
"builtin_interfaces.msg.Time(sec=1751478069, nanosec=815865339)",-57.5,-57.5,-57.5
"builtin_interfaces.msg.Time(sec=1751478069, nanosec=825898702)",-57.5,-57.5,-57.5
"builtin_interfaces.msg.Time(sec=1751478069, nanosec=835875692)",-57.5,-57.5,-57.5
"builtin_interfaces.msg.Time(sec=1751478069, nanosec=845887177)",-57.5,-57.5,-57.5
